author,title,year,opening_line
Ammi Midstokke,The Spokesman-Review,,"Recently, while criticizing my husband for something flawed in his person, like how he laces his boots or something, I was struck by a realization. Either I am perfect or my husband enjoys the relative peace that reigns when we both pretend I am."
Christopher Morley,Pipefuls,1920,"Today we rather intended to write an essay on Laziness, but were too indolent to do so."
Chandler Morrison,American Narcissus,2024,Only lies are sexy.
Iris Murdoch,A Severed Head,1961,"“You’re sure she doesn’t know,” said Georgie. “Antonia? About us? Certain.”"
Craig Nettles and Peter Golenbock,Balls,1984,"Some kids dream of joining the circus, others of becoming a major league baseball player. I have been doubly blessed. As a member of the New York Yankees, I have gotten to do both."
P. J. O’Rourke,Parliament of Whores,1991,The subject of this book is government because I don’t have to do anything about it.
P. J. O’Rourke,Eat the Rich,2007,I had one fundamental question about economics: Why do some places prosper and thrive while others just suck?
P. J. O’Rourke,A Cry from the Middle,2020,What this country needs is fewer people who know what this country needs.
Joyce Carol Oates,Expensive People,1968,"I was a child murderer. I don’t mean child-murderer, though that’s an idea. I mean child murderer, that is, a murderer who happens to be a child, or a child who happens to be a murderer. You can take your choice."
Joyce Carol Oates,Black Water,1992,"The rented Toyota, driven with such impatient exuberance by The Senator, was speeding along the unpaved unnamed road, taking the turns in giddy skidding slides, and then, with no warning, somehow the car had gone off the road and had overturned in black rushing water, listing to its passenger’s side, rapidly sinking. Am I going to die—like this?"
George Orwell,Animal Farm,1945,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes."
Richard Osman,The Thursday Murder Club,2020,"Killing someone is easy. Hiding the body, now, that’s usually the hard part. That’s how you get caught."
Gail Parent,Sheila Levine is Dead and Living in New York,1972,"A few years ago, on the East Side of Manhattan, not far from Bloomingdale’s, a man set up a business where he sold diet shakes, delicious chocolate milk shakes having only seventy-seven calories. Well, I tell you, fat young girls came from near and far and lined up around the block at lunchtime. Only seventy-seven calories and such heaven! I was one of the ones that had two for lunch every day."
C. Northcote Parkinson,Parkinson’s Law,1957,Work expands so as to fill the time available for its completion.
Alexandra Petri,Washington Post,,"It is a truth universally acknowledged that an American billionaire, in possession of sufficient fortune, must be in want of a Supreme Court justice."
Louis Phillips,A Dream of Countries Where No One Dare Live,1993,"All afternoon I had confused Dorothy Parker with Edna St. Vincent Millay. I had done worse than that. I had confused Edna St. Vincent Millay with her own goddamn self, by which I mean to say that I kept referring to her as St. Edna Vincent Millay."
Charles Portis,The Dog of the South,1979,My wife Norma had run off with Guy Dupree and I was waiting around for the credit card billings to come in so I could see where they had gone. I was biding my time. This was October.
Terry Pratchett,The Light Fantastic,1986,"The sun rose slowly, as if it wasn’t sure it was worth all the effort."
Terry Pratchett,Wyrd Sisters,1988,"The wind howled. Lightning stabbed at the earth erratically, like an inefficient assassin."
Terry Pratchett,Night Watch,2002,"Sam Vimes sighed when he heard the scream, but finished shaving before doing anything about it."
Thomas Pynchon,The Crying of Lot 49,1966,"One summer afternoon Mrs. Oedipa Maas came home from a Tupperware party whose hostess had put perhaps too much kirsch in the fondue to find that she, Oedipa, had been named executor, or she supposed executrix, of the estate of one Pierce Inverarity, a California real estate mogul who had once lost two million dollars in his spare time but still had assets numerous and tangled enough to make the job of sorting it all out more than honorary."
Randy Rainbow,Playing with Myself,2022,"It was the best of times, it was the worst of times…. Fine, I didn’t write that. But it’s how I really wanted the opening chapter of this book to begin. No phrase could more perfectly epitomize the last six years of my life, full of unimaginable highs and lows, for me personally and on the world stage."
Ayn Rand,"Philosophy, Who Needs It",1982,"The most appropriate title for this discussion would be “I told you so.” But since that would be in somewhat dubious taste, I shall leave this untitled."
Joyce Rebeta-Burditt,The Cracker Factory,1977,"I woke up, rolled over carefully to prevent the pin cushion in my head from doing major damage, opened the eye with the astigmatism and focused on the window with its mesh screen and bars. “Oh no,” I groaned, “I’ve fallen down the rabbit hole again.” I curled up in a ball, or more appropriately, since I was in a psychiatric ward, the fetal position."
Carl Reiner,I Remember Me,2013,"I Remember Me offers fifty-five chapters of varying lengths, containing remembrances of things past. It is my theory that these memories are stored in a part of one’s brain that does not allow your mind to access them until you are at least ninety years old. Three months ago, I became eligible, and the following is what my mind had stored in my brain."
Agnes Repplier,In Pursuit of Laughter (1936),1936,No man pursues what he has at hand. No man recognizes the need of pursuit until that which he desires has escaped him.
Simon Rich,The New Yorker,2021,"The detective woke up just after dawn. It was a typical morning. His knees were scraped and bruised, his clothes were damp and soiled, and his teeth felt like someone had socked him in the jaw. He reached for the bottle he kept under his pillow and took a sloppy swig. The taste was foul, but it did the trick."
Mary Roach,Stiff,2003,"The way I see it, being dead is not terribly far off from being on a cruise ship. Most of your time is spent lying on your back. The brain has shut down. The flesh begins to soften. Nothing much new happens, and nothing is expected of you."
Mary Roach,Spook,2005,"I don’t recall my mood the morning I was born, but I imagine I felt a bit out of sorts. Nothing I looked at was familiar. People were staring at me and making odd sounds and wearing incomprehensible items. Everything seemed too loud, and nothing made the slightest amount of sense."
Mary Roach,Bonk,2008,"A man sits in a room, manipulating his kneecaps. It is 1983, on the campus of the University of California, Los Angeles. The man, a study subject, has been told to do this for four minutes, stop, and then resume for a minute more. Then he can put his pants back on, collect his payment, and go home with an entertaining story to tell at suppertime."
Mary Roach,Fuzz: When Nature Breaks the Law,2021,"On June 26, 1659, a representative from five towns in a province of northern Italy initiated legal proceedings against caterpillars."
Tom Robbins,Another Roadside Attraction,1971,The magician’s underwear has just been found in a cardboard suitcase floating in a stagnant pond on the outskirts of Miami.
Tom Robbins,Even Cowgirls Get the Blues,1976,It is the finest outhouse in the Dakotas. It has to be.
Tom Robbins,Still Life With Woodpecker,1980,"If this typewriter can’t do it, then fuck it, it can’t be done."
Tom Robbins,Esquire,2005,"When one is on a pilgrimage to the Canyon of the Vaginas, one has to be careful about asking directions."
Tom Robbins,Playboy,2005,"Kissing is our greatest invention. On the list of great inventions, it ranks higher than the Thermos bottle and the Airstream trailer; higher, even, than room service, possibly because the main reason room service was created was so people could stay in bed and kiss without going hungry."
Philip Roth,The Great American Novel,1973,Call me Schmitty.
Rita Rudner,Naked Beneath My Clothes,1992,"An Introduction: I Was a Teenage, Pregnant, Alcoholic, Junkie Ninja Hooker."
Rita Rudner,Rita Rudner’s Guide to Men,1994,"This is a guide to men. It’s not that I’ve had much experience, or that I’ve done lots of research—it’s just, they’re not very hard to figure out."
Damon Runyon,Runyon on Broadway,1937,"On Boylston Street, in the city of Boston, Mass., there is a joint where you can get as nice a broiled lobster as anybody ever slaps a lip over, and who is in there one evening partaking of this tidbit but a character by the name of Horse Thief and me."
J. D. Salinger,The Catcher in the Rye,1951,"If you really want to hear about it, the first thing you’ll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don’t feel like going into it, if you want to know the truth."
George Sanders,Memoirs of a Professional Cad,1960,"On July 3, 1906, the world was at peace. Nothing of any consequence seemed to be happening in the capital cities of any of its countries. Nothing disturbed the summer lethargy of its population. Everywhere people dozed contentedly, unaware that an event of major importance was taking place in St. Petersburg, Russia. At number 6 Petroffski Ostroff, to Margaret and Henry Sanders, a son of dazzling beauty and infinite charm was being born. It was I."
Peter Schjeldahl,The Village Voice,,"Did Pablo Picasso exist? It gets harder to believe. Think of him wielding pencil and pecker, astride a century. He rewired the world’s optic nerves and imagination."
Peter Schjeldahl,The Village Voice,,"At a dinner party recently, a nice young political consultant rhapsodized to me about the portent of the millennium, in which he saw the dawn of, yes, a New Age. I wasn’t having it. I remarked that scholars now date the birth of Jesus to about 6 B.C., so the millennium passed already."
Murray Schumach,The New York Times,,It was not quite proper to have printed The Carpetbaggers between covers of a book. It should have been inscribed on the walls of a public lavatory.
Jerry Seinfeld,Is This Anything?,2020,"“Is this anything?” is what every new comedian says to every other comedian about any new bit. Ideas that come from nowhere and mean nothing. But in the world of stand-up comedy, literal bars of gold."
Josh Shaffer,News &amp; Observer,,"To the ears of a musical novice, the tuba ranks lowest in the family of instruments—an oafish cousin with a voice like a bullfrog. It lacks the flash of a saxophone, the brashness of a trumpet or the showiness of a piccolo—the melodic equivalent of a St. Bernard, warbling from the orchestra’s back row."
Josh Shaffer,News &amp; Observer,,"The bagpipe occupies the strangest rung on the musical ladder, shaped like an octopus in plaid pants, sounding to some like a goose with its foot caught in an escalator and played during history’s most lopsided battles—by the losing side."
Laurence Shames,Florida Straits,1992,People go to Key West for lots of different reasons. Joey Goldman went there to be a gangster.
Laurence Shames,Tropical Depression,1996,"When Murray Zemelman, a.k.a. the Bra King, started up his car that morning, he had no clear idea whether he would go to work as usual, or sit there with the engine idling and the garage door tightly shut until he died."
Laurence Shames,Shot on Location,2013,"When the call came in, Jake Benson, ghostwriter extraordinaire, was pinching dead leaves from the last remaining basil plant on a windowsill of his Upper West Side apartment."
Laurence Shames,One Big Joke,2018,“What is it with you lately?” said Marsha Gluck on what might or might not have turned out to be the last evening of her nine-year marriage to the then-unemployed comedy writer Lenny Sullivan.
Laurence Shames,Nacho Unleashed,2019,"So it was just another gorgeous day in Key West, sunny, mostly quiet though with a steady background hum of people doing stuff, having fun. Popping beer cans, revving scooter engines, singing along with the radio, that sort of thing. Harmless, goofy, peaceful stuff. No hint whatsoever that, before this day was over, it would turn into a life and death adventure of which I would be the unlikely hero. But we’ll get to that."
Laurence Shames,The Paradise Gig,2020,"Well, the whole thing started with a woman standing on her head. She was doing this yoga-style, on Smathers Beach in Key West, Florida, just a few short weeks ago. It was a beautifully ordinary day, sunny with a salty breeze. She was minding her own business, upside down, when two men suddenly approached her towel. They might have pushed her over but it’s hard to say for sure. Anyway, she came down off her head, left the beach with them, and wasn’t seen for several days. After that, a bunch of crazy stuff happened, and seemed to happen very fast."
Laurence Shames,Key West Normal,2021,Some folks say you can’t make this stuff up.
Laurence Shames,Relative Humidity,,"Now and then, not often, life offers up a perfect moment, a moment when everything just fits together, almost as if there was a plan, as if the world had been designed to be at least an occasional Paradise for those who took the trouble to notice its ingenious construction, as if life would be a calm and peaceful pleasure if that moment just went on and on. But of course it never does."
Allan Sherman,A Gift of Laughter,1965,"My life has been a wild ride, up-and-down, up-and-down. I have always been a yo-yo on a roller coaster, and if I never quite fell off—if I’ve been able to hang on and enjoy the ride this far—it is because God gave me one shining thing, a gift of laughter."
Max Shulman,Sleep Till Noon,1950,Bang! Bang! Bang! Bang! Four shots ripped into my groin and I was off on the greatest adventure of my life… But first let me tell you a little about myself.
Phil Silvers,This Laugh Is On Me,,"When I was eight I sang at a stag coming-out-of-jail party for a local hoodlum named Little Doggie. In the middle of my number, a man was shot dead at my feet."
Andrew Smith,Winger,2013,"I said a silent prayer. Actually, silent is the only type of prayer a guy should attempt when his head’s in a toilet."
Andrew Smith,100 Sideways Miles,2014,"Look: I do not know where I actually came from. I wonder, I suspect, but I do not know. I am not the only one who sometimes thinks I came from the pages of a book my father wrote. Maybe it’s like that for all boys of a certain—or uncertain—age: We feel as though there are no choices we’d made through all those miles and miles behind us that hadn’t been scripted by our fathers, and that our futures are only a matter of flipping the next page that was written ahead of us. I am not the only one who’s ever been trapped inside a book."
Andrew Smith,Grasshopper Jungle,2014,"I read somewhere that human beings are genetically predisposed to record history. We believe it will prevent us from doing stupid things in the future. But even though we dutifully archived elaborate records of everything we’ve ever done, we also managed to keep on doing dumber and dumber shit. This is my history."
H. Allen Smith,Lost in the Horse Latitudes,1944,This is the last chapter.
H. Allen Smith,The Life and Legend of Gene Fowler,1977,"The picturesque and comfortable little town of Nyack snuggles up to the Hudson River at the point where it widens into the Tappan Zee. Nyack is on the west shore of the Hudson. Once widely acclaimed as the most beautiful river on earth, today the Hudson is only 9.2 percent water."
Lemony Snicket (pen name of Daniel Handler),The Reptile Room,1999,"The stretch of road that leads out of the city, past Hazy Harbor and into the town of Tedia, is perhaps the most unpleasant in the world. It is called Lousy Lane."
Lemony Snicket (pen name of Daniel Handler),"The Bad Beginning, or, Orphans",1999,"If you are interested in stories with happy endings, you would be better off reading some other book. In this book, not only is there no happy ending, there is no happy beginning and very few happy things in the middle."
Lemony Snicket (pen name of Daniel Handler),The Austere Academy,2000,"If you were going to give a gold medal to the least delightful person on Earth, you would have to give that medal to a person named Carmelita Spats, and if you didn’t give it to her, Carmelita Spats was the sort of person who would snatch it from your hands anyway."
Rebecca Solnit,Men Explain Things to Me,2014,"One evening over dinner in March 2008, I began to joke, as I often had before, about writing an essay called “Men Explain Things to Me.” Every writer has a stable of ideas that never make it to the racetrack, and I’d been trotting this pony out recreationally once in a while."
Terry Southern and Mason Hoffenberg,Candy,1958,"“I’ve read many books,” said Professor Mephesto, with an odd finality, wearily flattening his hands on the podium, addressing the seventy-six sophomores who sat in easy reverence, immortalizing his every phrase with their pads and pens, and now, as always, giving him the confidence to slowly, artfully dramatize his words, to pause, shrug, frown, gaze abstractly at the ceiling, allow a wan wistful smile to play at his lips, and repeat quietly, “many books . . .” [ellipsis in original]"
Harvey Stanbrough,Substack,,"On the eighth day of my trek across Death Valley, I saw God. At least I supposed him to be God, and he seemed inclined to agree with my supposition."
David Steinberg,Inside Comedy,2021,"Insecurity combined with arrogance is good DNA for a comedian. So is anger, aggression, and sadness."
Richard Stengel,You’re Too Kind,2002,"Perfect, gentle reader: I will not begin this book with a tribute to your discernment, because a person of your obvious accomplishments would certainly be immune to such blandishments. You would surely see through such transparent puffery and reject it out of hand. Someone with as much self-assurance and insight as you would not want any soft soap and sycophancy, but rather candor and direct truth. Well, nothing personal, dear reader, but I doubt it."
Nina Stibbe,Man at the Helm,2014,My sister and I and our little brother were born (in that order) into a very good situation and apart from the odd new thing life was humdrum and comfortable until an evening in 1970 when our mother listened in to our father’s phone call and ended up blowing her nose on a tea towel—a thing she’d only have done in an absolute emergency.
Faith Sullivan,"Repent, Lanny Merkel",1981,"Like innumerable other mid-life women who suffer from insecurity, paranoia, grave misgivings, vague longings, and obvious shortcomings, I’m basically a happy person."
Earl Swift,Auto Biography,2014,"Behold Tommy Arney: six-one, two-forty, biceps big as most men’s thighs and displayed to maximum effect in the black wifebeater that is his warm-weather fashion essential."
Greg Tamblyn,Atilla the Gate Agent,2007,"I once had an engagement in the town of Normal, Illinois. I was delighted to learn that a place called Normal actually existed, because I happen to live just a few miles from the town of Peculiar, Missouri. I don’t think it’s any accident of the universe that I live a lot closer to Peculiar than Normal."
William Makepeace Thackeray,Vanity Fair,1848,"As the Manager of the Performance sits before the curtain on the boards, and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place."
Hunter S. Thompson,Fear and Loathing in Las Vegas,1971,We were somewhere around Barstow on the edge of the desert when the drugs began to take hold.
Rufi Thorpe,Margo’s Got Money Troubles,2024,"You are about to begin reading a new book, and to be honest, you are a little tense. The beginning of a novel is like a first date. You hope that from the first lines an urgent magic will take hold, and you will sink into the story like a hot bath, giving yourself over entirely."
James Thurber,The New Yorker,,"“We’re going through!” The commander’s voice was like thin ice breaking. He wore his full-dress uniform, with the heavily braided white cap pulled down rakishly over one cold gray eye."
James Thurber,The New Yorker,,Once upon a sunny morning a man who sat in a breakfast nook looked up from his scrambled eggs to see a white unicorn with a golden horn quietly cropping the roses in the garden.
John Kennedy Toole,A Confederacy of Dunces,1980,"A green hunting cap squeezed the top of the fleshy balloon of a head. The green earflaps, full of large ears and uncut hair and the fine bristles that grew in the ears themselves, stuck out on either side like turn signals indicating two directions at once. Full, pursed lips protruded beneath the bushy black moustache and, at their corners, sank into little folds filled with disapproval and potato chip crumbs. In the shadow under the green visor of the cap Ignatius J. Reilly’s supercilious blue and yellow eyes looked down upon the other people waiting under the clock at the D. H. Holmes department store, studying the crowd of people for signs of bad taste in dress."
Calvin Trillin,Quite Enough of Calvin Trillin,1998,It’s common these days for memoirs of childhood to concentrate on some dark secret within the authors ostensibly happy family. It’s not just common; it’s pretty much mandatory.
Calvin Trillin,Quite Enough of Calvin Trillin,1990,The reason so many Hollywood movies are made about nerds in high school who triumph in some improbable way over the jocks is this: Nearly everybody who makes movies in Hollywood was himself a nerd in high school.
Mark Twain,Personal Recollections of Joan of Arc,1896,This is the year 1492. I am eighty-two years of age. The things I am going to tell you about are things which I saw myself as a child and as a youth.
Mark Twain,The Man That Corrupted Hadleyburg and Other Stories and Sketches,1900,Monday —This new creature with the long hair is a good deal in the way. It is always hanging around and following me about. I don’t like this; I am not used to company. I wish it would stay with the other animals.
John Updike,Assorted Prose,1965,Pity the poor bore. He stands among us as a creature formidable and familiar yet in essence unknowable. We can read of the ten infallible signs whereby he may be recognized and of the seven tested methods whereby he may be rebuffed.
Luisa Valenzuela,The Censors,1992,"It’s true, he put his hand on my ass and I was about to scream bloody murder when the bus passed by a church and he crossed himself."
Vassilis Vassilikos,The Angel,1961,"You told me to write you wherever I might be, in whatever corner of the world. Well, I’m not in the world, but I’m writing these letters anyway, with no hope of ever sending them to you, because there’s no mail from our star to your earth."
Gore Vidal,The New York Times,,"A satirist is a man profoundly revolted by the society in which he lives. His rage takes the form of wit, ridicule, mockery."
Judith Viorst,Necessary Losses,1986,"We begin life with a loss. We are cast from the womb without an apartment, a charge plate, a job or a car."
Kurt Vonnegut,God Bless You Mr. Rosewater,1965,"A sum of money is a leading character in this tale about people, just as a sum of honey might properly be a leading character in a tale about bees."
Kurt Vonnegut,Slaughterhouse-Five,1969,"All this happened, more or less."
Kurt Vonnegut,Breakfast of Champions,1973,"This is a tale of a meeting of two lonesome, skinny, fairly old white men on a planet which was dying fast."
Kurt Vonnegut,Bluebeard,1987,"Having written “The End” to this story of my life, I find it prudent to scamper back here to before the beginning, to my front door, so to speak, and to make this apology to arriving guests: “I promised you an autobiography, but something went wrong in the kitchen.”"
John Wain,Living in the Present,1953,"The moment he decided to commit suicide, Edgar began to live in the present. It was, for him, a novel sensation."
Dan Wakefield,Going All the Way,1970,"When the two soldiers boarded the train at St. Louis they caught one another’s eyes for a moment in a mutually questioning gaze that broke off teasingly short of recognition, like a dream not quite recalled."
Dan Wakefield,Starting Over,1973,"Potter was lucky; everyone told him so. “You’re lucky,” they said, “that you didn’t have any children.” Divorce wasn’t any bowl of cherries, of course, but as long as there weren’t any children involved it wasn’t an irreparable damage, like the sundering of a full-blown family. Just the busted dream of a couple of consenting adults. When Potter met new people and the subject of his recent divorce came up, he was congratulated so often for not having any children, he was tempted to start passing out cigars in celebration, saying heartily, “It wasn’t a boy—or a girl!”"
Robert Penn Warren,A Place to Come To,1977,"I was the only boy, or girl either, in the public school of Dugton, Claxford County, Alabama, whose father had ever got killed in the middle of the night standing up in the front of his wagon to piss on the hindquarters of one of a span of mules and, being drunk, pitching forward on his head, still hanging on to his dong, and hitting the pike in such a position and condition that both the left front and the left rear wheels of the wagon rolled, with perfect precision, over his unconscious neck, his having passed out being, no doubt, the reason he took the fatal plunge in the first place. Throughout, he was still holding on to his dong."
Booker T. Washington,Up From Slavery,1901,"I was born a slave on a plantation in Franklin County, Virginia. I am not quite sure of the exact place or exact date of my birth, but at any rate I suspect I must have been born somewhere and at some time."
Bruce Watson,Freedom Summer,2010,"In the fall of 1963, America was suffused with an unbearable whiteness of being."
Bruce Watson,American Heritage,,"Comedians yammer on and on, but humorists are a somber bunch."
Colin Watson,Lonelyheart 4122,1967,"Arthur Henry Spain, butcher, of Harlow Place, Flaxborough, awoke one morning from a dream in which he had been asking all his customers how to spell “phlegm” and thought, quite inconsequentially: I haven’t seen anything of Lilian lately."
Evelyn Waugh,A Little Learning,1964,Only when one has lost all curiosity about the future has one reached the age to write an autobiography.
Gene Weingarten,The Detroit Free Press,,"Yesterday, I hardly knew anything about what an auto mechanic does. Today, I am one."
Fay Weldon,Words of Advice,1977,"We all have friends who are richer than ourselves, and they, you may be sure, have richer friends of their own. We are most of us within spitting distance of millionaires. Spit away—if that’s what you feel like."
Nathanael West,Miss Lonelyhearts,1933,The Miss Lonelyhearts of the New York Post-Dispatch (Are you in trouble?—Do-you-need-advice?—Write-to-Miss-Lonelyhearts-and-she-will- help-you) sat at his desk and stared at a piece of white cardboard.
Donald E. Westlake [see also RICHARD STARK],Somebody Owes Me Money,1969,I bet none of it would have happened if I wasn’t so eloquent.
Donald E. Westlake [see also RICHARD STARK],Help I Am Being Held Prisoner,1974,"Sometimes I think I’m good and sometimes I think I’m bad. I wish I could make up my mind, so I’d know what stance to take. The first thing Warden Gadmore said to me was, “Basically, you’re not a bad person, Kunt.“ “Künt,” I said quickly, pronouncing it the right way, as in koont. “With an umlaut,” I explained."
Donald E. Westlake [see also RICHARD STARK],Two Much!,1975,It all began innocently enough; I wanted to get laid.
Colson Whitehead,The Noble Hustle,2014,I have a good poker face because I am half dead inside.
Tia Williams,Seven Days in June,2021,"In the year of our Lord 2019, thirty-two-year-old Eva Mercy nearly choked to death on a piece of gum. She’d been attempting to masturbate when the gum lodged in her throat, cutting off her air supply."
P. G. Wodehouse,The Heart of a Goof,1926,It was a morning when all nature shouted “Fore!”
P. G. Wodehouse,The Luck of the Bodkins,1935,"Into the face of the young man who sat on the terrace of the Hotel Magnifique at Cannes there had crept a look of furtive shame, the shifty, hangdog look which announces that an Englishman is about to talk French."
P. G. Wodehouse,The Return of Jeeves,1953,"The waiter, who had slipped out to make a quick telephone call, came back into the coffee-room of the Goose and Gherkin wearing the starry-eyed look of a man who has just learned he has backed a long-priced winner."
Steven Wright,The Coyotes of Carthage,2020,"Andre marvels, watching a kid, a stranger of maybe sixteen, pinch another wallet."
Markus Zusak,The Book Thief,2005,"First the colors. Then the humans. That’s usually how I see things. Or at least, how I try. HERE IS A SMALL FACT You are going to die."
David Baldacci,Stranger in Time,2025,"It was well past the midway point of 1944 when Charlie Matters clambered over the piled-up debris that littered much of London, while doing his best to fade into the lingering edges of the night-time."
Maiwand Banayee,Delusions of Paradise,2025,"When I was 16, I wanted to become a suicide bomber for the Taliban in Afghanistan."
James Barrington,Overkill,2016,Most of the time they didn’t fuck around with the executions. A bullet in the back of the head or a blade drawn across the throat and the body left pretty much where it fell. But when Rashid was there it was different. Rashid liked to play.
Gorman Bechard,The Hazmat Diary,1992,"March 1, 2050 I repulse her. Entertain her. Enlighten her. Lead her. Teach her. Carry her. Ignore her. Lecture her. Embarrass her. Sadden her. Help her. Hinder her. Watch her. Psychoanalyze her. Probe her. Question her. Answer for her. Fuck her. Forgive her. Wrong her. Confuse her. Understand her. Hold her. Cry with her. Lie to her. Laugh with her. Feed her. Drive her. Support her. Culture her. Contour her. Sodomize her. Plagiarize her. (I’m plagiarizing her now.) Vitalize her. Victimize her. Intrigue her. Haunt her. Stalk her. Catch her. Skin her alive. But mostly I love her. Yes, I love her. And I know the feelings are mutual. All of them."
Phyllis Bottome,A Servant of Reality,1919,"Anthony Arden closed his eyes; he was trying to let the unutterable misery of two years slip from him. It was over; it was all over, as over as an extracted tooth, but he could not yet feel relief or exultation."
Phyllis Bottome,The Lifeline,1946,"Mark Chalmers was, as far as he knew, exactly the kind of man he wanted to be. He earned enough money for his tasks; he had done nothing discreditable; women admired him, boys obeyed him; and men of his own age definitely disliked him...."
"Warren A. Boyd, Jr.",Supthai Sentinel,,"The nickel phone call and basketball’s two-hand set shot may never make a comeback, but the Army mule has returned."
James Bradley,Flags of Our Fathers,,"In the spring of 1998, six boys called to me from half a century ago on a distant mountain and I went there."
John Buchan,The Thirty-Nine Steps,1915,"I returned from the City about three o’clock on that May afternoon pretty well disgusted with life. I had been three months in the Old Country, and was fed up with it. If anyone had told me a year ago that I would have been feeling like that I should have laughed at him...."
Michael Burlingame,Lincoln and the Civil War,2011,"If the legendary oddsmaker Jimmy the Greek had been alive when the Civil War began, he would probably have given the South a better-than-even chance of winning."
Lee Child,Killing Floor,1997,"I was arrested in Eno’s diner. At twelve o’clock. I was eating eggs and drinking coffee. A late breakfast, not lunch. I was wet and tired after a long walk in heavy rain. All the way from the highway to the edge of town."
Tom Clancy,The Cardinal of the Kremlin,1988,"They called him the Archer. It was an honorable title, though his countrymen had cast aside their reflex bows over a century ago, as soon as they had learned about firearms."
James Clavell,Shōgun,1975,"The gale tore at him and he felt its bite deep within and he knew that if they did not make landfall in three days they would all be dead. Too many deaths on this voyage, he thought, I’m Pilot-Major of a dead fleet."
Blayney Colmore,The Spy and the Priest,2016,"Max Hartman shifted his considerable weight from one cheek to the other in his leather Eames chair. Sitting in that chair, sometimes with his feet on the matching footstool, sometimes flat on the floor, was the only place other than in bed be could be comfortable for more than five minutes at a stretch."
Pat Conroy,The Great Santini,1976,"In the Cordova Hotel, near the docks of Barcelona, fourteen Marine Corps fighter pilots from the aircraft carrier Forrestal were throwing an obstreperously spirited going away party for Lieutenant Colonel Bull Meecham, the executive officer of their carrier based squadron. The pilots had been drinking most of the day and the party was taking a swift descent toward mayhem."
Stephen Crane,The Red Badge of Courage,1895,"The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting."
Wes Craven,Fountain Society,1999,"The cell held fifteen men. It was ten by twelve and stank of sweat, filth and fear. The only amenity offered was a hole in the center of the concrete floor which served as a toilet."
Simone de Beauvoir,The Mandarins,1954,"Henri found himself looking at the sky again— a clear, black crystal dome overhead. It was difficult for the mind to conceive of hundreds of planes shattering that black, crystalline silence! And suddenly, words began tumbling through his head with a joyous sound— the offensive was halted...the German collapse had begun."
Louis de Bernières,Captain Corelli’s Mandolin,1994,Dr. Iannis had enjoyed a satisfactory day in which none of his patients had died or got any worse.
Maureen Dowd,The New York Times,,"What has surprised me most about the history I have lived through is how often we get dragged on demented, destructive rides by leaders who put their personal psychodramas over the public’s well-being."
Laurie Ezpeleta,Buried Mistakes,2014,"That night I dreamed. Someone’s at the door. I don’t want to open it. But I must. A young soldier stands before me, trembling. I nod and he follows me into the tiny room. I light the lamp so I can see him better. Then I sit on the small wooden crate that contains my belongings and wait. He kneels on the floor before me, his body tense as the strings on the shamisen I used to play. “The fighting was close today,” I say to him. The soldier looks frightened—they all do. He nods and bows his head. But I have already looked into his eyes—eyes that have seen too much. He reaches for me and I flinch. It’s a mistake. His eyes flash as the wounded beast within him roars. He hits me, striking at me with all of his pent up rage. Then he rapes me."
Ian Fleming,Casino Royale,1953,The scent and smoke and sweat of a casino are nauseating at three in the morning. Then the soul-erosion produced by high gambling–a compost of greed and fear and nervous tension–becomes unbearable and the senses awake [sic] and revolt from it.
Vince Flynn,Term Limits,1997,"The old wood cabin sat alone, surrounded by trees and darkness. The shades were drawn, and a dog lay motionless on the front porch. A thin stream of smoke flowed out of the chimney and headed west, across the rural Maryland countryside toward Washington, D.C. Inside, a man sat silently in front of the fireplace, shoving stacks of paper into the hot flames."
Ken Follett,The Key to Rebecca,1980,The last camel collapsed at noon.
C. S. Forester,The African Queen,1935,"Although she herself was ill enough to justify being in bed had she been a person weak minded enough to give up, Rose Sayer could see that her brother, the Reverend Samuel Sayer, was far more ill."
C. S. Forester,The Beat to Quarters,1937,"It was not long after dawn that Captain Hornblower came up on the quarterdeck of the Lydia. Bush, the first lieutenant, was officer of the watch, and touched his hat but did not speak to him; in a voyage which had by now lasted seven months without touching land he had learned something of his captain’s likes and dislikes. During this first hour of the day the captain was not to be spoken to, nor his train of thought interrupted."
Frederick Forsyth,The Outsider,2015,"We all make mistakes, but starting the Third World War would have been a rather large one."
Charles Frazier,Cold Mountain,1997,"At the first gesture of morning, flies began stirring. Inman’s eyes and the long wound at his neck drew them, and the sound of their wings and the touch of their feet were soon more potent than a handful of roosters in rousing a man to wake."
Jonathan Freedland,The Escape Artist,2022,"7 April 1944 After days of delay, weeks of obsessive preparation, months of watching the failed attempts of others and two years of seeing the depth to which human beings could sink, the moment had finally come. It was time to escape."
Paul Fussell,Wartime,1989,"Watching a newsreel or flipping through an illustrated magazine at the beginning of the American war, you were likely to encounter a memorable image: the newly invented jeep, an elegant, slim-barreled 37-mm gun in tow, leaping over a hillock."
